Month,Posting Date,Category,CustomerName,,Ship-to Code,BILL TO STATE,Item/Service Description,Qty,Basic Value
May-2024,06/05/2024,Customer Sale,XPRESSBEES (COD),,,Karnataka,SBA10 GOLD,-1,-973.73
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Tamil Nadu,BTW100 XTREME BK,-1,"-1,100.85"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Karnataka,ATOMIK BB50 BK,-1,"-4,278.81"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Karnataka,BTW100 XTREME BK,-1,"-1,100.85"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Tamil Nadu,BTW100 XTREME BK,-1,"-1,100.85"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Tamil Nadu,BTW20 WH,-1,-846.61
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Andhra Pradesh,BH41-BK,-1,"-1,589.83"
May-2024,06/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Kerala,BTW20 GR,-1,-787.29
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Karnataka,BTW100 XTREME WH,-1,"-1,016.10"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Telangana,BTW100 XTREME WH,-1,"-1,016.10"
May-2024,06/05/2024,Customer Sale,BlueDart Express Limited-COD,,,Gujarat,SBW550 BK,-1,"-8,719.49"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Tamil Nadu,SBA15-GM,-1,"-1,100.85"
May-2024,06/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Karnataka,SBA15 BK,1,829.66
May-2024,06/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Tamil Nadu,BTW20 GR,-1,-787.29
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Tamil Nadu,EM06-TYPE-C-BL,-1,-295.76
May-2024,06/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Karnataka,SBA15 BK,-1,-829.66
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Karnataka,ATOMIK BB50 BK,-1,"-4,278.81"
May-2024,06/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Chattisgarh,BTW20 GR,-1,-787.29
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Gujarat,BTW12 KHROME WH,-1,"-1,016.10"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Andhra Pradesh,BTW12 KHROME BK,-1,"-1,007.60"
May-2024,06/05/2024,Customer Sale,CUSTOMER UNREGISTER,,,Uttar Pradesh,SPR-BP-SBOXSBW08,-1,-12
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Kerala,BTW12 KHROME WH,-1,"-1,016.10"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Assam,SBA20 BK,-1,"-1,143.20"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Telangana,BTW100-XTREME-BL,-1,"-1,100.80"
May-2024,06/05/2024,Customer Sale,DELHIVERY-COD,,,Haryana,SBW100 BK RCT,-1,"-4,237.29"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Odisha,BTW300 BL,-1,"-1,270.30"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Bihar,EM01 TYPE C BK,-1,-490.68
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Karnataka,BTW300 BL,-1,"-1,270.30"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Haryana,ATOMIK BB20 BK,-1,"-1,609.30"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Gujarat,EM05 BK,-1,-168.64
